,Total_Days,amount_raised_usd,amount_raised_usd_boxcox,state,currency,category,month_launch
17820,30,135.0,4.235106857674596,0,USD,Health & Fitness,11
17821,60,3025.0,6.329078544558536,0,USD,Human Rights,11
17822,60,1945.0,6.055466271454798,0,USD,Food & Beverages,11
17823,33,26490.52451261224,7.570619432672073,1,EUR,Health & Fitness,11
17824,30,430.0,5.06238873517741,0,USD,Tabletop Games,11
17825,60,8689.0,6.953481664320433,0,USD,Health & Fitness,11
17826,33,2430.0,6.19431838548994,0,USD,Fashion & Wearables,11
17827,40,501.0,5.16718643819654,0,USD,Fashion & Wearables,11
17828,30,285.0,4.775403611501174,0,USD,Tabletop Games,11
17829,60,30.0,3.0693495665011867,0,USD,Comics,11
17830,1,359477.0,8.859503963126912,1,USD,Productivity,11
17831,60,360.0,4.9392994524441844,0,USD,Comics,11
17832,38,2805.0,6.282824365237144,0,USD,Film,11
17833,14,17455.0,7.344604488508379,1,USD,Food & Beverages,11
17834,60,6510.0,6.786629672074556,0,USD,Film,11
17835,60,1772.1262892874404,5.996846467298464,0,CAD,Dance & Theater,11
17836,55,61768.760030098616,8.011879186997955,0,GBP,Music,11
17837,60,545.0,5.224494199009695,0,USD,Music,11
17838,1,1023345.0,9.321244625526385,1,USD,Home,11
17839,60,370.0,4.958367926018789,0,USD,Travel & Outdoors,11
17840,60,1747.0,5.987823654752353,0,USD,Art,11
17841,60,1748.64989045967,5.988420341193388,0,GBP,Music,11
17842,60,560.0,5.242914896005435,0,USD,Human Rights,11
17843,60,6190.0,6.757196041708514,1,USD,Dance & Theater,11
17844,60,3714.0,6.453699790258329,0,USD,"Podcasts, Blogs & Vlogs",11
17845,1,11203.0,7.097912139282667,0,USD,Transportation,11
17846,60,419.0,5.044520104155648,0,USD,Comics,11
17847,60,105919.0,8.281221279085264,0,USD,Film,11
17848,35,410.670629676058,5.030655208287597,0,EUR,Phones & Accessories,12
17849,40,11892.431521806951,7.131528178258425,0,EUR,Environment,12
17850,30,4389.184160819526,6.5539893904073185,0,EUR,Travel & Outdoors,12
17851,60,3330.7430075384154,6.387749679982337,0,EUR,Food & Beverages,12
17852,50,1753.977079768001,5.990342858944659,0,GBP,Film,12
17853,60,2391.907999440645,6.184526610403732,0,GBP,Writing & Publishing,12
17854,1,44393.0,7.842441215649307,0,USD,Transportation,12
17855,30,3158.0,6.355340576873948,0,USD,Tabletop Games,12
17856,60,410.0,5.029525934637396,0,USD,Film,12
17857,60,7313.0,6.854204458630167,0,USD,Web Series & TV Shows,12
